"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",46508.5758105852,42978.144895751,-3530.43091483414,FALSE
"2","Employee 2",45497.9746579193,49896.5280666016,4398.55340868235,TRUE
"3","Employee 3",45741.7687703855,53588.1558875553,7846.3871171698,TRUE
"4","Employee 4",47069.274908863,45849.0505861118,-1220.22432275116,FALSE
"5","Employee 5",41479.2396780103,54757.071309723,13277.8316317126,TRUE
"6","Employee 6",40239.345189184,38912.9952294752,-1326.34995970875,FALSE
"7","Employee 7",41267.841598019,41986.32592801,718.484329991043,TRUE
"8","Employee 8",40786.9173795916,35789.7069514729,-4997.21042811871,FALSE
"9","Employee 9",45019.5263675414,43022.3468667828,-1997.17950075865,FALSE
"10","Employee 10",46790.0315509178,43574.8462402262,-3215.1853106916,FALSE
"11","Employee 11",40340.9676067531,37043.055864051,-3297.91174270213,FALSE
"12","Employee 12",45462.7305152826,58286.9738456793,12824.2433303967,TRUE
"13","Employee 13",42945.2370177023,53310.5513849296,10365.3143672273,TRUE
"14","Employee 14",48824.4453514926,43915.7362584956,-4908.70909299701,FALSE
"15","Employee 15",44604.8701694235,42122.9585027322,-2481.9116666913,FALSE
"16","Employee 16",43589.7451336496,43429.3128014542,-160.432332195342,FALSE
"17","Employee 17",46708.1171390601,52730.0538797863,6021.93674072623,TRUE
"18","Employee 18",44411.6916670464,40166.3186843507,-4245.3729826957,FALSE
"19","Employee 19",43261.8989562616,49809.0991843492,6547.2002280876,TRUE
"20","Employee 20",49102.953390684,49978.4437962808,875.490405596793,TRUE
"21","Employee 21",41857.8702583909,37469.6083879098,-4388.26187048107,FALSE
"22","Employee 22",49926.0336300358,58323.6095774919,8397.57594745606,TRUE
"23","Employee 23",47198.925584089,57932.706035208,10733.7804511189,TRUE
"24","Employee 24",47889.8336854763,61256.5870932303,13366.753407754,TRUE
"25","Employee 25",49462.5369249843,49873.441781383,410.904856398702,TRUE
"26","Employee 26",41241.4670735598,54725.0358900055,13483.5688164458,TRUE
"27","Employee 27",40982.422910165,54137.9163158126,13155.4934056476,TRUE
"28","Employee 28",46926.8970098346,54074.2950700223,7147.3980601877,TRUE
"29","Employee 29",43574.514023494,40747.9991274886,-2826.51489600539,FALSE
"30","Employee 30",43896.2469459511,47051.8335350789,3155.58658912778,TRUE
"31","Employee 31",44960.0659497082,51636.7139061913,6676.64795648307,TRUE
"32","Employee 32",45670.0724060647,47041.0402002744,1370.96779420972,TRUE
"33","Employee 33",45366.6306426749,52306.3003784046,6939.66973572969,TRUE
"34","Employee 34",46360.4643428698,55717.3987105489,9356.93436767906,TRUE
"35","Employee 35",47166.3942816667,61368.9784309827,14202.584149316,TRUE
"36","Employee 36",45740.8550847322,48223.7500324845,2482.89494775236,TRUE
"37","Employee 37",45096.9357322901,40430.8826895431,-4666.05304274708,FALSE
"38","Employee 38",45062.6687402837,56068.2111117058,11005.5423714221,TRUE
"39","Employee 39",44842.0925531536,56915.7137768343,12073.6212236807,TRUE
"40","Employee 40",46247.1280316822,49057.1515751071,2810.0235434249,TRUE
